,txt
1659,극진공수도에 대한 가장 거부감 없고 보기 편한 영화입니다 오쓰 
1660,어떤 영화보다도 마음이 쓰리다 
1661,끝까지 집중하며 신나게 본 영화 평점이 왜 낮은지 모르겠어요 
1662,1점준사람들 어떤 사람인지 알겠음 
1663,문제점 투성이의 지루한 좀비물역시 영화는 감독이 중요해 좋은 시나리오 연기파 배우들 데리고 저따위밖에 못찍는 감독이라니 ㅋㅋ 똑같은 시나리오와 배우 그리고 제작비까지 손에쥐어주면 고등학교 방송반애들이 더잘만들듯 
1664,감동적이이요 ㅎㅎ 굿ㄱ ㅅ 
1665,도시를 굳이 안 떠나고 아이와 함께 위험속에 사는게결국 자기들의 가치관을 아무것도 모르는 아이들한테 까지 강요한거지이들이나 대께문이나 일베충이나 다를게 없다다들 좀 상식적으로 살자 
1666,와 이걸 어떻게 표현해야 하죠 
1667,진짜 인생영화다어른이 봐도 좋은 영화네요 
1669,배우들의 연기가 너무 좋고 종교에 대해 알아본 적도 배워본 적도 없는 사람으로써 신의 존재를 더 거부하게 만드는 영화였던 것 같다 
1671,픽사가 다시 돌아왔다 
1672,이제훈 얼굴이랑 연기밖에 볼게 없음 근데 심각하게 잘생겨서 10점 줌 
1673,보는 내내 모닥불을 바라보는 기분이었어요 독립영화는 처음 보는데 정말 행복한 기억으로 남을 것 같습니다 몽환적인 분위기부터 눈 바스러지는 작은 소리 하나까지도 인상적이었어요 또 보고 싶네요 
1674,호불호가 있는거 같지만 개인적으로 감명깊게 봤습니다 
1675,너무 감동했어용 친구랑 보러갔는데 엄마한테도 추천드리고 싶어요 요즘 제아 엄마와 다투는 제 자아와 관련된 주제를 다뤄서 위로가 돼 엄마와 공유하고싶어용 
1676,박진감있고 숨쉴 틈없는 전개로 재미있으면 된거지 
1677,22 부디 멈춰 그 낙하지점은 네가 아는 숨만 쉬어도 뉴요커 생활이 아니라 중국에 심지어 티베트 땅이야 tt 
1679,코로나 시대에 주는 위안 
1680,이런 좋은 영화를 제작해 주셔서 먼저 감사드립니다우리가 얼마나 많은 편견과 문화적 편향을 자신도 모르는체 가지고 사는지일깨워 주는 좋은 영화였고 늘 깨우치려고 노력하고 살겠습니다 
1681,뒷부분은 감동적이지만 지루한감이 있음 
1682,때론 진실보다 거짓이 더 순수해보일 때도 있지만 결국은 진실의 순수함이 더 빛난다 
1683,기대보다 약한 하지만 인생은 귀한 
1684,아름다운 영화 그러나 보통 로맨스 영화를 보고 나면 마음이 두근거리거나 간질거리기 마련이지만 이 영화를 보고나서는 이런 사랑은 현실에 없다는 생각이 들었기에 오히려 마음이 차분해졌다 
1685,아기의 울음이 전쟁의 광기를 멈추었다 
1686,진짜 헛웃음만 나옴 ㅋㅋㅋ 
1687,영화 스파이 재밌어서 그 감독꺼 다 보는 중인데 이것도 재밌네요 
1688,정말눈물잔치였어요 
1689,성인이 보면 인생에 대해서 다시 생각해보기 좋지만 아이들은 보다 지루해할게 분명합니다 
1690,문천지 목사  문재앙 
1691,해리케인 축구도 잘하고 연기도 잘하고 춤도 잘추고 피아노도 잘추고 
1692,기대하지 않으면 재밌게 볼 수 있는 영화 무심코 채널 돌리다 끝까지 봤는데 다 보고 나서도 주인공이 누군지 몰랐었음주인공이 누군지 알고보면 재미없고 
1694,난 재미있던데 평점 테러할정도는 아님 지루하단생각안들었음 재미있게 잘봤음 다만 영화표가 13000원은 너무과해서 다신 영화관 갈 생각이 뚝 사라짐 
1695,볼만했습니다 
1697,감동이 조금 억지 스토리도 뜬금없는 감이 있었지만 그냥 봤어요 인사이드 아웃 같은 스토리를 기대하신다면 안 보시는 걸 추천드립니다 막 귀엽고 아기자기한 이야기는 아니고 삶에 지친 어른들을 위한 애니메이션 같아요ㅎㅎㅎ 테리는 귀여움 
1698,요즘 삶의 목적을 잃어 고민이 많았는데 그 답을 주네요 많이 울었습니다 인생 애니메이션이에요 
1699,시간 아까워 ㅠㅠ 
1700,재밌습니다 그리고 친구에게 추천각 
1701,대박입니다 후속편 기대합니다 
1702,진짜 너무 재밌어요음악하시는 분들 보시면 많은 공감되실듯 
1703,시리즈의 완결편 팬이라면 꼭 보세요 
1704,스토리 전개가 디즈니와 픽사여서 기대가 높았어서 그랬는지 기대치에 못 미치고 지루해요 
1705,한국영화 조제 그 자체로 생각해주었으면 여운이 상당히 오래가는 영화입니다 본지 꽤 되었는데도 일상에서 한지윤과 남주혁의 눈빛이 가끔 생각나요 
1706,잘살고있다고 쓰담쓰담해주는 영화 
1707,2020냔 기생충 2021은 차인표 
1708,친구들이 있기에 우리는 꿈을 꿀 힘을 얻을 수 있다 가족이 있기에 우리는 더 큰 꿈을 꿀 수 있다 
1709,과거 자기 자신에게 말하는 영상과 현실의 그들의 모습을 보니 굉장히 슬펐던 것 같다 ㅠㅠ 친구 사이의 돈독함을 느낄 수 있고 내가 더 뭉클했다 또한 배우들 연기도 너무 좋았고 ost 또한 정말 잘 어울려서 영화 영상미가 더욱 살아나 너무 좋았다 ㅠㅠ 써니는 또 봐도 후회가 없을 것 같은 영화다 
1710,진짜 평점 84 입니다요 
1711,굳이 연인관계아니더라도 손절한 옛친구들이나 교수님들이나 어르신들 그냥 인간관계 자체에 부합한다고 생각한다 나는 지금은 연락안하고 남들처럼 흘러간다지만 옛날에 그사람들과의 즐거웠던 추억들은 지우기싫은뭐상대방은 나랑 다르게생각할진 모르겠지만 어쨌든 기억을 매우 중시하는 저에겐 정말 뜻깊은 영화였네요 
1713,작품아닌 상품으로 만든 영화 
1714,최근 본 영화중에 제일 좋았다 
1715,주인공 믿고 봤는데 생각보다 개인적으로 결말이예고편이 너무 재밌게 나왔슴 
1716,가족들과보기추천한다 
