id,방송일시,상품명,상품군,실제_취급액,DNN_pred,lightGBM_pred,Voting_mape,최종MAPE
0,2019-06-01 6:00,썸덱스 쉬룰 데일리 백팩 5종 세트,잡화,11954000,9806322,9658821.83,18.58313606,36.17143573
1,2019-06-01 6:20,썸덱스 쉬룰 데일리 백팩 5종 세트,잡화,15705000,17612718,17870787.86,12.96881839,
2,2019-06-01 6:40,썸덱스 쉬룰 데일리 백팩 5종 세트,잡화,21884000,23093424,23871241.71,7.303659553,
3,2019-06-01 7:00,크리스티나앤코 썸머플리츠세트,의류,11685000,19943260,19161570.91,67.3291866,
4,2019-06-01 7:20,크리스티나앤코 썸머플리츠세트,의류,27955000,31750564,32794183.73,15.44401311,
5,2019-06-01 7:40,크리스티나앤코 썸머플리츠세트,의류,37021000,43018444,48894345.64,24.13601691,
6,2019-06-01 8:00,코몽트 남성 이너티셔츠 7종,의류,52972000,43909312,44373098.14,16.67068438,
7,2019-06-01 8:20,코몽트 남성 이너티셔츠 7종,의류,79733000,70787536,77004531.12,7.32064069,
8,2019-06-01 8:40,코몽트 남성 이너티셔츠 7종,의류,96380000,90652432,94212776.33,4.095658679,
9,2019-06-01 9:00,무이자 매직쉐프 10리터 듀얼쿡 에어프라이어,주방,19602000,15658088,16403432.25,18.21875256,
10,2019-06-01 9:00,일시불 매직쉐프 10리터 듀얼쿡 에어프라이어,주방,19503000,14925475,15482174.02,22.04366247,
11,2019-06-01 9:30,무이자 매직쉐프 10리터 듀얼쿡 에어프라이어,주방,55647000,32949154,39027529.84,35.32743559,
12,2019-06-01 9:30,일시불 매직쉐프 10리터 듀얼쿡 에어프라이어,주방,71581000,34785932,40974560.91,47.08058499,
13,2019-06-01 10:00,뱅뱅 남성 썸머 데님팬츠 3종(2019 S/S),의류,17823000,13848515,15434911.42,17.84933395,
14,2019-06-01 10:00,뱅뱅 여성 썸머 데님팬츠 3종(2019 S/S),의류,14832000,12434444,13036459.84,14.13530259,
15,2019-06-01 10:20,뱅뱅 남성 썸머 데님팬츠 3종(2019 S/S),의류,28914000,26840618,29246819.32,3.009896032,
16,2019-06-01 10:20,뱅뱅 여성 썸머 데님팬츠 3종(2019 S/S),의류,24728000,24105782,23267027.3,4.212210256,
