,댓글,출처
19049,사랑합니다 응원합니다 대통령님,./data\문재인.csv
19050,대통령 님 사랑합니다,./data\문재인.csv
19052,Welfi time,./data\문재인.csv
19053,지지하고 응원합니다,./data\문재인.csv
19054,100000000000 항상 지지,./data\문재인.csv
19055,"Day 31
completeJoin the UP TourQue Dec 22 2019Rehearsal briefing Dec 21 2019 Que Eve Help us Add BASE temp state TEXAFORNIA as part of the rise to 196 Countries USE upgrade this 2019",./data\문재인.csv
19056,반도체 외부 공정들을 우리나라에서 자체적 생산라인을 구성하는것 만으로도 자국 채용적 라인이며 자국 생산공정으로 인해 이득적인 면에서 최고라 생각합니다,./data\문재인.csv
19058,진정으로 국민을 사랑하시는 대통령님 사랑하고 존경합니다,./data\문재인.csv
19059,하트 말고 더 강한 표현 없을까 아 대통령님 흰머리 더 느신당ㅠㅠ 어캐요,./data\문재인.csv
19061,삼성 잡아 먹으려고 애쓰시더니 참 걱정입니다,./data\문재인.csv
19065,아고저도 젊은 저들처럼 행복합니다 건강하시고 스트레스 받지마세요,./data\문재인.csv
19066,아 저사람들 부럽다 전 언제쯤 실물영접 가능한가요ㅠㅠㅠㅠ,./data\문재인.csv
19067,한국때문에 잘살고있다는 여행중소리을 듣게되니 얼마나 감사한지납니다돌아와 열심 살겠습니다 감사합니다,./data\문재인.csv
19068,국민과의 소통 감사합니다 앞으로도 국민과 소통하며 국민을 위한 정치 펼쳐주시리라 믿습니다 화이팅,./data\문재인.csv
19069,축하드립니다 흔들리지 말고 건강하셔야 됩니다,./data\문재인.csv
19070,대통령님 멋지세요소신껏 화이팅,./data\문재인.csv
19071,강하게 나가자,./data\문재인.csv
19072,KoreaOne SuperMoon 여훈 YoungH 0yh SuperSter 권지용 GDragon GD,./data\문재인.csv
19073,건강하세요 대통령님,./data\문재인.csv
19074,축하드립니다 정말 일하시는 우리 대통령 ㅎ,./data\문재인.csv
19075,감사합니다 대한민국의 대통령이 되주셔서,./data\문재인.csv
19076,언제나 응원합니다,./data\문재인.csv
19077,우리대통령님 감사합니다,./data\문재인.csv
19078,문재인대통령님 항상 응원하고 있습니다진실된 국민을 위해 발로 뛰는 똑똑한 대통령님항상 감사합니다 건강하세요,./data\문재인.csv
19081,늘한결같이 응원합니다,./data\문재인.csv
19082,연평도 포격으로 사망한 장병들이나 추모해라 무식한 대깨문들아,./data\문재인.csv
19084,대통령님 오랜만에 웃는 얼굴 좋아요,./data\문재인.csv
19085,늘 지지합니다,./data\문재인.csv
19087,멋진 문대통령님 항상 응원하고 지지합니다,./data\문재인.csv
19088,Good luck with you,./data\문재인.csv
19089,역시 멋지 시네요 파이팅입니다,./data\문재인.csv
19090,너무너무 좋아요,./data\문재인.csv
19092,더찬 대한민국을 응원합니다,./data\문재인.csv
19093,좋아요 경제활성화 부탁드려요,./data\문재인.csv
19094,대통령님 덕분입니다,./data\문재인.csv
19095,10년만 대통령 더해주시면 좋겠어요,./data\문재인.csv
19096,대통령님 내세요 건강하세요,./data\문재인.csv
19097,헐럴럴대한민국흔들리면 안되죠일본 놈나쁜 놈일본 시러먼 말이여재성합니다,./data\문재인.csv
19098,대통령님가시는 곳 곳마다 나라 안과 밖으로 과 신바람이 절로 납니다사랑합니다 감사합니다 존경합니다,./data\문재인.csv
19099,대통령님 응원합니다 지지합니다,./data\문재인.csv
19100,"1YouTube에서 294회광주 이용섭시장님 행정심판위원장을 외부인으로 해주셔 공정한 심판되게 하세요진리해설사박민수 보기
httpsyoutubedYxAnfudC5w
2YouTube에서 2911회더불어당은 소속지자체장과 의원들 정화하시요광주북구청장에게 바란다와 의회에바란다 글참조진리해설사박민수 보기
httpsyoutubeD2EjpxrKJ4o",./data\문재인.csv
19101,인기쟁이 대통령님,./data\문재인.csv
19102,멋진 대통령님 항상 응원합니다,./data\문재인.csv
19104,문재인대통령님 든든하고 자랑스럽고 끝까지 화이팅합니다,./data\문재인.csv
19105,항상 최선을 다하는 대통령님 감사합니다,./data\문재인.csv
19106,건강이 최고 건강하세요,./data\문재인.csv
19108,야당이랑 기레기들만 욕할뿐이지 실상은 핵인싸 대통령,./data\문재인.csv
19109,우리는 훨씬 규모가 큰 외국계반도체인데 왜 안와줭,./data\문재인.csv
19110,지소미아 종료 조건부유예 그냥 종료했어야 옳았다고 생각합니다 국민의 자존심에 대못을 박으셨습니다 내년 총선 심 걱정됩니다,./data\문재인.csv
19111,늘 응원해요,./data\문재인.csv
19112,적극 지지합니다 더이상 반도체에 들어가는 부품때문에 일본의 휘둘림을 당해서는 안됩니다 지소미아도 이에 맞물려 맞불이었는데 국내 한 부동산관련 카페 회원들은 이를 두고 정책결정을 인기투표로 결정하냐며 염병들을 하고 있더라구요 아직도 정신 못차린 인간들 많습니다 그들은 북한에겐 강경하면서 일본 미국에겐 지나치리만치 관대해요 넘 짜증남그사람들은 우리나라 국민이 아닌 것 같음요 어느쪽도 맘에 들지 않지만 보수의 생각은 그야말로 천불이라는 어쨋든 적극지지합니다 감사합니다,./data\문재인.csv
19113,2019년 7월13일 강원도 삼척시 근덕면에있는 덕산해수욕장에서 안전요원들과 삼척시 관리청의 법률위반으로 학생들이 사망하였습니다가해자들을 엄중 처벌해주실 간절 바라옵니다,./data\문재인.csv
19114,상황을 개떡 같이 만들어 놓으시고 sns는 하시고 싶은가 본데 왜만하면 이제 하시지 마시죠 이제 지지해주는 것도 점점 지치니 메갈들 지원해주고 뭐 얻으셨소 남녀갈등 조장해놓고서 지지율을 어더시오 호구자처해놓고서 아침밥은 잘 넘어가더이까,./data\문재인.csv
19115,대통령님 나라일 수고 많으십니다 기도로 응원드립니다,./data\문재인.csv
19116,아무도 흔들 수없는 나라를 만들기 위해 고군분투하시는 대통령님 감사합니다 이번 사태로 국민들에게 극일할 수 있고 극일해야 한다는 큰 깨달음을 주셨네요,./data\문재인.csv
19117,나도 대통령님 찍고 싶네요ㅎㅎ,./data\문재인.csv
19120,대통령님 추운데 건강 조심하세요,./data\문재인.csv
19121,대통령님 당선이후 많이늙으신거같아 맘이 항상아픕니다 정권과 유권자표에만 연연하는 야당이 야속합니다 소신있는정치는 어려운걸까요,./data\문재인.csv
19123,아무도 흔들 수 없는 나라,./data\문재인.csv
19124,대통령님 사랑합니다 늘 지지합니다,./data\문재인.csv
19125,전정권 탓하는 정부는 무능 전정부 반성 안하는 정당은 불능,./data\문재인.csv
19126,우리 대통령,./data\문재인.csv
19127,문재인 대통렁님 사랑합니다,./data\문재인.csv
19128,지당하신 말씀입니다,./data\문재인.csv
19129,항상 응원합니다 건강하세요,./data\문재인.csv
19130,대통령님 홧팅,./data\문재인.csv
19132,대통령님 건강하십쇼,./data\문재인.csv
19133,언제나 지지합니다,./data\문재인.csv
19134,그냥 지소미아 연장 한다고 해요 좀 에휴,./data\문재인.csv
19135,대통령님 존경합니다 건강하세요,./data\문재인.csv
19137,삼성이 잘하고 있으니 제발 숟가락 올릴생각 말고 아무것도 하지마세요 손대는거마다 폭망이니 원,./data\문재인.csv
19138,사랑해요 감기조심하세요,./data\문재인.csv
19139,대통령님 차기 총리후보로 진영장관을 지명한다는 것은 어뷸성설이라고 봅니다 용산에 20여년 거주한 주민으로서 그분의 국회의원으로서 행적을 보면 저쪽 진영에 있을때는 이쪽을 쳐다보지도 않고 출세와 영달에만 치중한듯이 보였고 저쪽에서 버림받고으면 무소속으로 나와야 되는데 이쪽으로 나와서 다시 의원이 되었지만 가진게 많다고 표줄때 뿐이고 온화하지도 않아 덕이 없어보이고 용산을 위해 뚜렷이 해놓은게 없다는 주민들의 평가도 있습니다 현총리처럼 덕망이 있는것도 아니고 단지 호남쪽 출신이고 청문회 통과하기 쉽다고 지명한다는 것은 나중에 바른결정이었다고 평가받기가 쉽지 않을지도 모릅니다,./data\문재인.csv
19141,자랑스러운 문재인보유국,./data\문재인.csv
19142,항상 정확하며 정직한 제조업이 되지를 비랍니다,./data\문재인.csv
19143,아부지 같은 우리대통령 최고,./data\문재인.csv
19144,대통령님 늘 건강하세요 사랑합니다,./data\문재인.csv
19145,지소미아 파기 철회 ㅋㅋㅋ 왔다갔다 ㄷㄷ하다,./data\문재인.csv
19146,늘 응원합니다 대통령님,./data\문재인.csv
19147,언제나 응원합니다,./data\문재인.csv
19148,문프님 사랑해여ㅋㅋ,./data\문재인.csv
19151,대통령님항상 존경하고 지지합니다과중한 업무로 건강 해치실까 늘 염려됩니다쌀쌀해진 날씨에 건강 잘 챙기시길 바래요,./data\문재인.csv
19153,그와중에 폰케이스 참이쁘네요,./data\문재인.csv
19155,대통령님 항상 건강 챙기시고 행복하세요,./data\문재인.csv
19156,건강하세요 경찰의 부패가 만연된 불량국가 입니다 청와대 근무자만 사는 나라가 아닙니다 형편없는 부량패륜국가 가 돼도 모두 수수방관북괴 김일성 일가보다 못한 부패 공문서 손괴뇌물 수수가 적법인 나라한심한 나라를 바로 세워 주세요,./data\문재인.csv
19158,나라가 많이 발전했죠 화이트와 블랙이 조화를 이룰 수 있도록 균형을 잃지 않아야 합니다 결국 우리모두 상생하고 있습니다 늘 큰 업적을 남긴 리더는 사랑중이었습니다 사랑했기 때문에 더 깨끗해지고 더 정의로워졌습니다 사랑하는 이를 위해 길을 만들고 밤을 낮처럼 환하게 만들었습니다 네 저는 밤처럼 캄캄한 어둠 속을 걷고 있는듯 합니다 그러나 그의 사랑은 어둔 길목 길목에 가로등을 만들어 주었고 나로 하여금 실족치 않게해 주었습니다 그는 등대처럼 어두운 바닷길을 비춰주어 목표를 향해 달릴 수 있게 바로 잡아 주었습니다 그는 나에게 있어 한줄기 희망의 빛입니다 그의 따뜻한 사랑은 나로 하여금 더럽고 혼탁한 세상을 위해 일할 을 주었습니다 이렇게 우리는 세상의 빛과 소금이 되어야 합니다,./data\문재인.csv
19159,사랑하고 존경합니다 문재인 대통령님,./data\문재인.csv
19160,강한 나라 대한민국 화이팅 내가 주인이다,./data\문재인.csv
19161,늘 감사합니다,./data\문재인.csv
19162,넘나 멋지십니다,./data\문재인.csv
19165,참 잘하셨어요 당당하게 우리도 할 수 있다,./data\문재인.csv
19166,항상 응원합니다,./data\문재인.csv
19167,대통령님 합니다,./data\문재인.csv
19168,실리콘 반도체 공장에서 일하시는 분들은 제품 불량을 줄일려고 화장품에도 실리콘 성분이 들어간건 못쓰게함 반도체 공장은 화재시 연기와 유독가스에 의한 광학 생산 장비 피해가 천문학적임 경기도에서 화재시 스프링쿨러와 소화기 없이 최대4시간동안 화염 연기와 유독가스를 발생한 룸에 벽난로처럼 확실 가둘수있는 내화충전재선형조인트와 관통부와 멤브레인과 커튼월 설계와 시공 관리감독 방법에 대해서 국내는 왜 2분도 못 막는지 원인과 해결책을 논의하고 표준을 만들어봅시다 방화재 재질은 대부분 아크릴 혹은 실리콘임 실리콘 반도체 생산품질 개선 위해 올가닉 라텈스도 있음 경쟁력향상,./data\문재인.csv
19169,대통령님 사랑하고 무한 존경합니다,./data\문재인.csv
19171,대통령님 감기조심하세요,./data\문재인.csv
19172,아베는 결국 머리를 조아리고 통곡할거라 믿어 의심치 않습니다 대통령님 화이팅입니다,./data\문재인.csv
19173,문대통령님 너무 고생 많으십니다 슈튜디어에서 뒤모습을 보니 머리가 많이 빠졌더군요 마음 아픕니다,./data\문재인.csv
19174,대통령님 국민들에게 늘 희망을 주셔서 감사합니다사랑합니다건강하세요,./data\문재인.csv
19175,내 사랑,./data\문재인.csv
19176,대통령님 화이팅,./data\문재인.csv
19177,대통령님 미워요이나라을중국인세상을다만들구,./data\문재인.csv
19178,늘 건강하세요,./data\문재인.csv
19179,다들 뭔 꿈을꾸신겁니까 완전 계탄날이시네요ㅎㅎ,./data\문재인.csv
19180,"지치지않도록 되고 싶습니다
대통령님 항상 믿고 응원합니다",./data\문재인.csv
19181,존경하는 대통령님 아무도 흔들수없는 자랑스러운 대한민국 함께 만들어요 내세요,./data\문재인.csv
19182,대통령님 화이팅 입니다요,./data\문재인.csv
19183,허걱 이건 머죠 시상식에 연예인,./data\문재인.csv
19184,지소미아 파괴에 웃고갑니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이순신 12척 드립하더니 ㅋㅋㅋㅋ 이순신이 졌나봐요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이순신이 졌어요 ㅋㅋㅋㅋㅋㅋ 왜구들한테,./data\문재인.csv
19185,대통령님 늘 지지합니다 항상 감사드려요대통령님 사랑합니다,./data\문재인.csv
19187,잠시 밤산책을 다녀오는길에 발게 빛나는 북두칠성이 한아세안을 비춰주고 있어 잘 다녀왔습니다 항상 건강하세요,./data\문재인.csv
19188,보여짐보다는 최선을다하는 모습,./data\문재인.csv
19189,최고 멋짐 건강하세요,./data\문재인.csv
19191,나의 대통령님,./data\문재인.csv
19192,대통령님 사랑합니다,./data\문재인.csv
19193,끝까지 함께 가겠습니다,./data\문재인.csv
19194,결국에는 졌네요 지지 않으신다고 국민들에게 약속을 하셨는데 말이죠,./data\문재인.csv
19196,대통령님 자랑스럽습니다,./data\문재인.csv
19197,자랑스러운 대한민국 대통령님 건강하세요,./data\문재인.csv
